1358,"VA Form 1358, Estimated Miscellaneous Obligation or Change in Obligation"
CSV,"Code Set Versioning package
This package is mandated under the Health Information Portability and Accountability Act (HIPAA). It contains routines, globals and data dictionary changes to recognize code sets for the International Classification of Diseases, Clinical Modification (ICD-9-CM), Current Procedural Terminology (CPT) and Health Care Financing Administration (HCFA) Common Procedure Coding System (HCPCS). When implemented, certain applications will allow users of these three code systems to select codes based upon a date that an event occurred with the Standards Development Organization (SDO)-established specific code that existed on that event date."
CT,computed tomography
CWAD,"Cautions, Warnings, Adverse Reactions, Directives
A type of Progress Note.
Crises, Warnings, Allergies/Adverse Reactions, and Directives. These are displayed on the Cover Sheet of a patient’s computerized record, and can be edited, displayed in greater detail, or added to. See Patient Postings."
DA (PSA),Drug Accountability/Inventory Interface
DaIS,Development and Infrastructure Support
data,"A representation of facts, concepts, or instructions in a formalized manner for communication, interpretation, or processing by humans or by automatic means. The information you enter for the computer to store and retrieve. Characters stored in the computer system, which are the values of local or global variables. VA FileMan fields hold data values for file entries."
data standardization,"Data Standardization is the foundation for data sharing. Standardization ensures that data can be shared across systems and that it will retain the same meaning in each system. Standardization will enable the exchange of clinically-relevant health data between the VA and its health partners, and other federal entities such as the Department of Defense (DoD), Health & Human Services (HHS), and the Indian Health Service (IHS). Standardization will also support development of an integrated, longitudinal patient record that will give providers access to the veteran’s complete health record. The result will be a safer, higher-quality and more cost-effective provision of care for veterans across all federal facilities. Standardization of data will also assist with DoD interoperability efforts by supporting a seamless transition of care for individuals moving from active-duty to veteran status.
As a result of a Congressional Mandate requiring a consolidated database of all veteran patient results, the VHA Office of Information and DoD were tasked with implementing a method to communicate entire patient records between the respective agencies. To accomplish this, VHA and DoD will use the standard recommended by Consolidated Health Informatics (CHI) for Clinical Document names — Logical Observation Identifier Names and Codes (LOINC®).
CHI is a collaborative effort to adopt health information interoperability standards, particularly health vocabulary and messaging standards, for implementation in Federal Government Systems. About 20 departments and agencies, including the DoD, HHS, and VHA, are active in the CHI governance process. The CHI initiative is one of the Office of Management and Budget’s (OMB) eGov initiatives."
DD,"Data Dictionary
The Data Dictionary is a global containing a description of the kind of data that is stored in the global corresponding to a particular file. VA FileMan uses the data internally for interpreting and processing files. It contains the definitions of a file’s elements (fields or data attributes), relationships to other files, and structure or design. Users generally review the definitions of a file's elements or data attributes; programmers review the definitions of a file's internal structure."
DD access,"Data Dictionary Access
A user’s authorization to write/update/edit the data definition for a computer file."
database,"A set of data, consisting of at least one file, that is sufficient for a given purpose. The VistA database is composed of a number of VA FileMan files. A collection of data about a specific subject, such as the PATIENT file (#2); a data collection has different data fields (e.g. patient name, SSN, Date of Birth, and so on). An organized collection of data about a particular topic."
DBA,"Database Administrator, oversees software development with respect to VistA Standards and Conventions (SAC) such as namespacing. In addition, this term refers to the Database Administration function and staff."
DBIA,"Database Integration Agreement, see Integration Agreements."
DSM-IIIR,"Diagnostic & Statistical Manual of Mental Disorders
medical standards"
DDC,Denver Distribution Center
DEERS,Defense Enrollment Eligibility Reporting System
default,"Response the computer considers the most probable answer to the prompt being given. It is identified by double slash marks (//) immediately following it. This allows you the option of accepting the default answer or entering your own answer. To accept the default you simply press the Enter (or Return) key. To change the default answer, type in your response."
delimiter,"Special character used to separate a field, record, or string. VA FileMan uses the caret character (""^"") as the delimiter within strings."
demographic data,"Identifying descriptive data about a patient, such as: name, sex, date of birth, marital status, religious preference, SSN, address, etc."
DENT,Dental
Department of Veterans Affairs,"The Department of Veterans Affairs, formerly called the Veterans Administration (VA)."
deploying,The process of pushing terminology and content from the development to the production environment.
DFN,Data File Number
DHCP,"Dynamic Host Configuration Protocol (current meaning)
Decentralized Health Care Program (obsolete meaning) Now known as Veterans Health Information Systems and Technology Architecture (VistA). VistA replaces DHCP."
DI,FileMan
Diagram Annotation tool,"The Diagram Annotation tool is an optional Imaging component that is accessed from CPRS. The Diagram Annotation tool is used to annotate online diagram ‘templates’ and then save the results directly to a patient’s electronic medical record. Newly annotated diagrams are typically available for display in less than a minute.
Using the Diagram Annotation tool can reduce or replace, where appropriate, the clinical use of paper-based diagrams. Instead, diagrams are created online, with all users drawing from a shared diagram collection. Using the Diagram Annotation tool also reduces the workload of Clinical Capture users and the costs associated with paper-based records storage and management."
direct connect,"The Direct Connect is a real-time TCP/IP connection to the MPI to allow for an immediate request for an ICN. Direct Connect is activated when using any of the following PIMS options: 1. Register A Patient,
2. Load/Edit Patient Data,
3. Electronic 10-10EZ Processing,
and when using the:
1. Display Only Query"
Direct Delivery Patient,A patient who has been designated to have goods delivered directly to him/her from the vendor.
Direct Mode Utility,"A programmer call that is made when working in direct programmer mode. A direct mode utility is entered at the MUMPS prompt (e.g., >D ^XUP). Calls that are documented as direct mode utilities cannot be used in application software code."
DISA,Defense Information System Agency
Discharge Summary,"Discharge summaries are summaries of a patient’s medical care during a single hospitalization, including the pertinent diagnostic and therapeutic tests and procedures as well as the conclusions generated by those tests. They are required for all discharges and transfers from a VA medical center, domiciliary, or nursing home care. The automated Discharge Summary module of TIU provides an efficient and immediate mechanism for clinicians to capture transcribed patient discharge summaries online, where they’re available for review, signing, adding addendum, etc."
division,The subunit under institute has 5-6 digits/letter division ID and less than a 35 character name
document class,"Document Classes are categories that group documents (Titles) with similar characteristics together. For example, Nursing Progress Notes might be a Document Class, with Nursing Dialysis Progress Notes, Nursing psychology Progress Notes, etc. as Titles under it. Or maybe the Document Class would be Psychology Notes, with Psychology Nursing Notes, Psychology Social Worker Notes, Psychology Patient Education Notes, etc. under that Document Class."
document definition,"is a subset of TIU that provides the building blocks for TIU, by organizing the elements of documents into a hierarchy structure. This structure allows documents (Titles) to inherit characteristics (such as signature requirements and print characteristics) of the higher levels, Class and Document Class. It also allows the creation and use of boilerplate text and embedded objects."
DoD,"Department Of Defense
DoDFAC"
DoDFAC,"Department of Defense functional activity codes
DoDFACs are grouped into eleven categories:ADP (Automated data processing), Base maintenance, Depot repair, Education and training, Health services, Installation services, Intermediate maintenance, Other nonmanufacturing (logistics-related functions), R&D, RPM (Real property maintenance), Social services.
medical standards"
domain,"A subset of medicine, a natural grouping of clinical acts (e.g., demographics, vital signs, laboratory, pharmacy)"
Dorland,Dorland's Medical Dictionary [Lnk]
DRG,"Diagnostic Related Group
A manageable, clinically coherent set of patient classes that relate a hospital case mix to the resource demands and associated costs experienced by the hospital."
DRG Grouper (ICD),"The DRG Grouper is a ""black box"" utility with standalone functionality and can be called by other VISTA applications. The DRG Grouper package contains two options:
- DRG Grouper - Used to compute and display the Diagnosis Related Group (DRG) for a patient based on that patient's diagnoses and any operations/procedures performed.
- ICD Code Inquiry - Allows the user to display information for a selected diagnosis or operation/procedure code.
The DRGs are defined as a manageable, clinically coherent set of patient classes that relate a hospital case mix to the resource demands and associated costs experienced by the hospital. There are 511 DRGs associated with the DRG Grouper. Each represents a class of patients deemed medically comparable and requiring similar amounts of resources for care."
DSE (GT.M),"The GT.M Database Structure Editor, examines and repairs Greystone Technology Database Structure (GDS) database(s). GT.M uses Buffered Global (BG) and Mapped Memory (MM) access methods for GDS files."
DSM,Diagnostic and Statistical Manual of Mental Disorders.
DSO,Decision Support Office
DSS,Decision Support System
duplicate record merge: patient merge,"Patient Merge is a VistA application that provides an automated method to eliminate duplicate patient records within the VistA database (i.e., the VistA PATIENT file #2). It consists of three steps:
- Search for potential duplicate records pairs
- Review, verification, and approval of those pairs
- Merge process"
DUZ,Local variable holding the user number that identifies the signed-on user.
DVBA (AMIE),Automated Med Info Exchange
DX,Digital Radiography
DXplain,"Diagnostic Prompting System
is a decision support system which uses a set of clinical findings (signs, symptoms, laboratory data) to produce a ranked list of diagnoses which might explain (or be associated with) the clinical manifestations. DXplain can provide a description of over 2200 different diseases, emphasizing the signs and symptoms that occur in each disease, the etiology, the pathology, and the prognosis. Over 4900 different clinical manifestations (signs, symptoms, and laboratory examinations)."
DXLS,Diagnosis responsible for the major portion of a patient's stay.
E3R,Electronic Error and Enhancement Reporting
EC,Event Capture
ECME,"Electronic Claims Management Engine
ECME generates electronic claims in National Council for Prescription Drug Programs (NCPDP) V. 5.1 format, based on the Outpatient Pharmacy V. 7.0 workflow. ECME:
- allows pharmacy users to submit, resubmit, and reverse electronic claims;
- provides reports for end users and management on claims status, transaction history, and system configuration standings;
- allows Automated Data Processing Application Coordinator (ADPAC) and Information Resources Management Service (IRMS) staff to configure ECME to pharmacy site specifications."
EDI,"Electronic Data Interchange
Electronic communication between two parties, generally for the filing of electronic claims to payers."
eligibility codes,Codes representing the basis of a patient’s eligibility for care.
EMPI,Enterprise Master Patient Index
encounter,"A contact between a patient and a provider who has the primary responsibility of assessing and treating the patient. A patient may have multiple encounters per visit. Outpatient encounters include scheduled appointments and walk-in unscheduled visits. A clinician’s telephone communications with a patient may be represented by a separate visit entry. If the patient is seen in an outpatient clinic while an inpatient, this is treated as a separate encounter.
provider
visit"
encounter form,"The encounter form is a paper form designed specifically for outpatient visits. It is used both to display relevant patient data for use during the visit, such as demographics, allergies, and problems; and to collect data about the visit, such as procedures and tests performed. Its primary focus is clinical and to collect data for the Ambulatory Care Reporting Project. It also has other purposes such as collecting data necessary for billing."
EN,Engineering package См. AEMS/MERS
entry,"VA FileMan record. An internal entry number (IEN), the .001 field) uniquely identifies an entry in a file."
Episode of Care,"An interval of care by a health care facility or provider for a specific medical problem or condition. It may be continuous or it may consist of a series of intervals marked by one or more brief separations from care, and can also identify the sequence of care (e.g., emergency, inpatient, outpatient), thus serving as one measure of health care provided.
Many encounters for the same problem can constitute an episode of care. An outpatient episode of care may be a single encounter or can encompass multiple encounters over a long period of time. The definition of an episode of care may be interpreted differently by different professional services even for the same problem. Therefore, the duration of an episode of care is dependent on the viewpoints of individuals delivering or reviewing the care provided."
Equipment Management,A section/division of A&MM Service or similar activity responsible for screening all equipment requests. They are accountable for all equipment (CMRs) at the facilities they support.
error trap,"A mechanism to capture system errors and record facts about the computing context such as the local symbol table, last global reference, and routine in use. Operating systems provide tools such as the %ER utility. The Kernel provides a generic error trapping mechanism with use of the ^%ZTER global and ^XTER* routines. Errors can be trapped and, when possible, the user is returned to the menu system."
ERT,Enterprise Reference Terminology
ESig,Electronic Signature
ETS (also VETS),Enterprise Terminology Services
EVC,Enrollment VistA Changes
EVE,Mother of all menus.
Event Capture,"Software designed to provide management tools necessary in tracking procedures not entered in other VistA packages. The procedures and services tracked through Event Capture are associated with the following:
- The patient to whom they were delivered
- The provider requesting the service or procedure
- The DSS Unit responsible for delivering the service (DSS Units typically represent the smallest identifiable work unit in a clinical service at a medical center and are defined by the VAMCs.)"
EWS,Enterprise Wide Scheduling
exception message,MPI/PD VistA generates messages and bulletins to alert the user to problems that occur in generating or processing HL7 messages. The MPI/PD Message Exception Menu contains options to manage the problems.
extractor,"A specialized routine designed to scan data files and copy or summarize data for use by another process.
extract process"
extract process,"This process is run after the update process. This function goes through patients on the local registry and, depending on their status, extracts all available data for the patient since the last extract was run. This process also updates any demographic data held in the local registry for all existing patients that have changed since the last extract. The extract transmits any collected data for the patient to the national database via HL7."
facility,Geographic location at which VA business is performed.
FB,Fee Basis
FCP,Fund Control Point
FDA,"Food and Drug Administration
FDA is an agency within the HHS and consists of nine centers/offices.
Center for Biologics Evaluation and Research (CBER)
Center for Devices and Radiological Health (CDRH)
Center for Drug Evaluation and Research (CDER)
Center for Food Safety and Applied Nutrition (CFSAN)
Center for Veterinary Medicine (CVM)
National Center for Toxicological Research (NCTR)
Office of Chief Counsel
Office of the Commissioner (OC)
Office of Regulatory Affairs (ORA)"
FFP,Fugitive Felon Program
FH,Dietetics
FHIE,Federal Health Information Exchange
field,"In a record, a specified area used for the value of a data attribute. The data specifications of each VA FileMan field are documented in the file's data dictionary. A field is similar to blanks on forms. It is preceded by words that tell you what information goes in that particular field. The blank, marked by the cursor on your terminal screen, is where you enter the information."
FileMan,"File Manager
VistA's Database Management System (DBMS). The central component of Kernel that defines the way standard VistA files are structured and manipulated.
DI name menu in EVE.
FileMan was initially developed in the late 1970s and has provided platform-independent database services ever since. FileMan's end-user interface allows easy access to medical center data via prestored or ad hoc queries. Programmer services include file creation and management, data archiving and transport tools, and import_/ export utilities. Client server access was added via the Database Server API and FileMan Delphi (Borland Pascal) components (used in VHA graphical user interface (GUI) applications). FileMan also supports an SQL interface.
A set of MUMPS routines used to enter, maintain, access and manipulate related data in a file. It is the basic system used by all VA applications in creating all the files.
MailMan"
FIM,Functional Independence Measurement
Fiscal Balance,The amount of money on a 1358 and any adjustments to that 1358 that have been obligated by Fiscal Service. This amount is reduced by any liquidation submitted against the obligation.
Fiscal Year,Twelve-month period from October 1 to September 30.
Flat File,This term usually refers to a file that consists of a series of fixed-length records that include some sort of record type code.
FMDC,FileMan Delphi Components
FMS,"Financial Management System
System that replaced CALM.
The primary accounting system for administrative appropriations. FMS has a comprehensive database that provides for flexible on-line and/or batch processing, ad-hoc reporting, interactive query capability and extensive security. FMS is concerned with budget execution, general ledger, funds control, accounts receivable, accounts payable and cost accounting."
FOIA,Freedom of Information Act
forced queuing,"Device attribute indicating that the device can only accept queued tasks. If a job is sent for foreground processing, the device rejects it and prompts the user to queue the task instead."
FORUM,"1. The central E-mail system within the VA. FORUM is used to communicate at a national level. For example, VistA developers use FORUM to discuss programming and other issues. FORUM is located at the OI Field Office—Washington, DC (162-2).
2. The FORUM module of the Library package serves several major needs.
- Maintain basic serial information
- Allow for interlibrary loan of materials
- Maintain listing of networked audiovisuals
First, the programs on FORUM allow the National Librarians to input and maintain consistent information on serials. Serial titles are entered specifying certain pertinent information about the serial such as title, frequency of issue, etc. Once the serial has been entered into the Library module on FORUM, the local medical center libraries have the capability of obtaining that information by requesting information about serial titles to be transmitted to their local files for utilization.
The second feature of the Library on FORUM is the ability to request interlibrary loan of materials from one local medical center to another. Holdings for each library station are maintained on FORUM for this purpose and for updating the National Library of Medicine's SERHOLD data for their interlibrary loan module, DOCLINE."
FPDS,Federal Procurement Data System.
free text,"A data type that can contain any printable characters.
A type of data field whose permissible values are any combination of numbers, letters, and symbols."
front door,"System access via the Delphi, Graphical User Interface (GUI) based VistA application."
FSOD,Functional Status Outcomes Database
Funds Control,A group of Control Point options that allow the Control Point Clerk and/or Official to maintain and reconcile their funds.
GAL,Global Address List.
GCS,Generic Code Sheet
Generic Code Sheet,"is a Decentralized Hospital Computer Program (DHCP) software module which manages the input, editing, deletion, and transmission of code sheets from a local hospital computer system to a centralized computer system as defined by the code sheet.
The Generic Code Sheet package contains a code sheet file, GENERIC CODE SHEET (#2100), to be used to define field definitions to support the code sheets. The field definitions describe the type of data to be stored in the actual code sheet. The fields can be arranged in an input template in the order they will be used to create the code sheet. Once the code sheet data has been created, the code sheets can be marked for batching. Batching the code sheets will group like code sheets together for transmission. When the code sheets are transmitted, all code sheets within the batch will be transmitted in the same VA MailMan message. The exception to this is the Financial Management System (FMS) code sheets. When the FMS code sheets are created they are queued for transmission using the GENERIC CODE SHEET STACK file (#2100.1), thus bypassing the batching process. The code sheets are transmitted from the stack file by a background VA TaskManager job which can be run every 2 hours, 3 hours, etc. as specified by the systems manager."
GDE (GT.M),"The GT.M Global Directory Editor, GDE, is a tool for creating, examining, and modifying Global Directories (GDs). A Global Directory is a file that identifies:
- What global variables go to what database files
- The size limits for names and values of global variables
- Other database characteristics
- If and what type of journaling should take place
The main functions of the Global Directory Editor are to:
- Define the mapping of global variables to database files - Define the character limitations of global variable names and records
- Provide the MUMPS Peripheral Interchange Program (MUPIP) with characteristics (e.g., -ALLOCATION size) used in creating and extending a database file
- Define whether a database file should be journaled and how
- Define the -ACCESS_METHOD used to access the database files and other database characteristics [GDE.hlp]"
GIP,Generic Inventory Package
G&L,Gains and Losses
GL,General Ledger
global variable,Variable that is stored on disk (M usage).
GMRA,"Adverse Reaction Tracking, ART"
GMRC,Consult/Request Tracking
GMRD,Discharge Summary
group health plan,"(also see definition of health plan) means an employee welfare benefit plan (as defined in section 3(1) of the Employee Retirement Income and Security Act of 1974 (ERISA), 29 U.S.C. 1002(1)), including insured and self-insured plans, to the extent that the plan provides medical care (as defined in section 2791(a)(2) of the Public Health Service Act (PHS Act), 42 U.S.C. 300gg–91(a)(2)), including items and services paid for as medical care, to employees or their dependents directly or through insurance, reimbursement, or otherwise, that:
(1) Has 50 or more participants (as defined in section 3(7) of ERISA, 29 U.S.C. 1002(7)); or
(2) Is administered by an entity other than the employer that established and maintains the plan. HHS stands for the Department of Health and Human Services."
GT.M,"Greystone Technology MUMPS. GT.M is an implementation of M from Fidelity National Information Services, Inc. GT.M is the enterprise scale transaction processing database application development platform. As a database engine: It supports full Atomic, Consistent, Isolated and Durable (ACID) transactions. It is substantially faster for transaction processing than traditional relational databases. GT.M has been in production since 1986. GT.M[tm] is a vetted, industrial strength, transaction processing application platform consisting of a database engine optimized for high TP throughput and a compiler for the M (aka MUMPS) programming language. GT.M is open-souce freeware on x86/Linux."
HBPC,"1. Hospital Based Patient Care
2. Home Based Primary Care"
HCFA,"Health Care Financing Administration
HCFA has historically maintained the UB-92 institutional Electronic Media Claims (EMC) format specifications, the professional EMC National Standard Format (NSF) specifications, as well as specifications for various certifications and authorizations used by the Medicare and Medicaid programs. HCFA also maintains the HCPCS medical code set."
HCPCS,"HCFA Common Procedure Coding System
A medical code set that identifies health care procedures, equipment, and supplies for claim submission purposes. It is maintained by Health Care Financing Administration (HCFA), and has been selected for use in the HIPAA transactions. HCPCS Level I contain numeric CPT-4 codes, which are maintained by the AMA. HCPCS Level II contains alphanumeric codes used to identify various items and services that are not included in the CPT-4 code set. These are maintained by HCFA, BCBSA, and Health Insurance Association of America (HIAA). HCPCS Level III contains alphanumeric codes that are assigned by Medicaid State agencies to identify additional items and services not included in levels I and II. These are usually called ""local codes,"" and must have ""W"", ""X"", ""Y"", or ""Z"" in the first position. They are not named as HIPAA standard codes. HCPCS Procedure Modifier Codes can be used with all three levels, with the WA-ZY range used for locally assigned procedure modifiers.
medical standards"
HDI,"Health Data & Informatics
The Health Data Informatics (HDI) package provides a basic method for seeding VHA Unique Identifiers (VUIDs) for reference data in existing VistA applications. A VUID is a meaningless number, which is automatically assigned to concepts, properties, and relationships in a terminology to facilitate their access and manipulation by computers.
The HDI package will be used by each VistA site to seed VUIDs in their existing global files that contain reference data, such as drug names, names of known allergens, and so forth. These files have been grouped into domains, and each domain will be standardized separately. As each domain’s files are originally standardized, the HDI package is used to assign a VUID to each term or concept in the file. Subsequent standardization updates and maintenance on these files will be handled separately by the New Term Rapid Turnaround (NTRT) program."
HDR,"Health Data Repository
is the cornerstone of the Health Data Systems (HDS) portfolio. The HDR will serve as an operational clinical repository—a collection of clinical information, from VA and non-VA sources, residing on one or more independent platforms—to be used by clinicians and other personnel to facilitate longitudinal, patient-centric care. Data in the HDR will be organized in a format supporting the delivery of care regardless of the physical location of a patient’s clinical information. The HDR will provide additional significant benefits including providing information to support research and population analyses, facilitating patient access to data and sharing information across VHA, improving data quality and data security, and reducing the burden on local VistA systems."
HDR-Hx,HDR - Historical
HDR IMS,Health Data Repository – Interim Messaging Solution
HealtheVet-VistA,"The HealtheVet-VistA architecture will be a services-based architecture. Applications will be constructed in tiers with distinct user interface, middle and data tiers. Two types of services will exist, core services (infrastructure and data) and application services (a single logical authoritative source of data)."
health care,"means care, services, or supplies related to the health of an individual. Health care includes, but is not limited to, the following:
(1) Preventive, diagnostic, therapeutic, rehabilitative, maintenance, or palliative care, and counseling, service, assessment, or procedure with respect to the physical or mental condition, or functional status, of an individual or that affects the structure or function of the body; and
(2) Sale or dispensing of a drug, device, equipment, or other item in accordance with a prescription."
Health Care Clearinghouse,"Under HIPAA, this is ""… a public or private entity that does either of the following: (1) processes or facilitates the processing of information received from another entity in a nonstandard format or containing nonstandard data content into standard data elements or a standard transaction, or (2) receives a standard transaction from another entity and processes or facilitates the processing of [that] information into nonstandard format or nonstandard data content for a receiving entity."" [45 CFR 160.103]"
Health Information,"Under HIPAA this is ""… any information, whether oral or recorded in any form or medium that (a) is created or received by a health care provider, health plan, public health authority, employer, life insurer, school or university, or health care clearinghouse; and (b) related to the past, present or future physical or mental health or condition of an individual, the provision of health care to an individual, or the past, present or future payment for the provision of health care to an individual."" [45 CFR 160.103]"
health insurance issuer,"(as defined in section 2791(b)(2) of the PHS Act, 42 U.S.C. 300gg–91(b)(2) and used in the definition of health plan in this section) means an insurance company, insurance service, or insurance organization (including an HMO) that is licensed to engage in the business of insurance in a State and is subject to State law that regulates insurance. Such term does not include a group health plan."
health plan,"an individual or group plan that provides, or pays the cost of, medical care (as defined in section 2791(a)(2) of the PHS Act, 42 U.S.C. 300gg–91(a)(2)).
(1) Health plan includes the following, singly or in combination:
(i) A group health plan, as defined in this section.
(ii) A health insurance issuer, as defined in this section.
(iii) An HMO, as defined in this section.
(iv) Part A or Part B of the Medicare program under title XVIII of the Act.
(v) The Medicaid program under title XIX of the Act, 42 U.S.C. 1396, et seq.
(vi) An issuer of a Medicare supplemental policy (as defined in section 1882(g)(1) of the Act, 42 U.S.C. 1395ss(g)(1)).
(vii) An issuer of a long-term care policy, excluding a nursing home fixed indemnity policy.
(viii) An employee welfare benefit plan or any other arrangement that is established or maintained for the purpose of offering or providing health benefits to the employees of two or more employers.
(ix) The health care program for active military personnel under title 10 of the United States Code. (x) The veterans health care program under 38 U.S.C. chapter 17.
(xi) The Civilian Health and Medical Program of the Uniformed Services (CHAMPUS) (as defined in 10 U.S.C. 1072(4)).
(xii) The Indian Health Service program under the Indian Health Care Improvement Act, 25 U.S.C. 1601, et seq.
(xiii) The Federal Employees Health Benefits Program under 5 U.S.C. 8902, et seq.
(xiv) An approved State child health plan under title XXI of the Act, providing benefits for child health assistance that meet the requirements of section 2103 of the Act, 42 U.S.C. 1397, et seq.
(xv) The Medicare+Choice program under Part C of title XVIII of the Act, 42 U.S.C. 1395w–21 through 1395w–28.
(xvi) A high risk pool that is a mechanism established under State law to provide health insurance coverage or comparable coverage to eligible individuals.
(xvii) Any other individual or group plan, or combination of individual or group plans, that provides or pays for the cost of medical care (as defined in section 2791(a)(2) of the PHS Act, 42 U.S.C. 300gg–91(a)(2)).
(2) Health plan excludes:
(i) Any policy, plan, or program to the extent that it provides, or pays for the cost of, excepted benefits that are listed in section 2791(c)(1) of the PHS Act, 42 U.S.C. 300gg–91(c)(1); and
(ii) A government-funded program (other than one listed in paragraph (1)(i)–(xvi) of this definition):
(A) Whose principal purpose is other than providing, or paying the cost of, health care; or
(B) Whose principal activity is:
(1) The direct provision of health care to persons; or
(2) The making of grants to fund the direct provision of health care to persons."
Health Summary,"is a clinically oriented, structured report that extracts many kinds of data from VISTA and displays it in a standard format. The individual patient is the focus of health summaries, but health summaries can also be printed or displayed for groups of patients."
HEC,"Health Eligibility Center.
Formerly known as the IVMCenter."
HFS,Host File Server is a system (WinNT/Dec Alpha) file access mechanism that enables the M software (server software) to access the system-level files.
HHS,Health & Human Services
HHCC,"Home Health Care Component, Diagnosis/Interventions"
HIMS,"Hospital (Health) Information Management System
Common abbreviation/synonym used at VA site facilities; also known as MIS (see below)."
HIMSS,Healthcare Information and Management Systems Society
Hines,Hines Data Center
HINQ,"Hospital Inquiry
The HINQ module provides the capability to request and obtain veteran eligibility data via the VA national telecommunications network. Individual or group requests are sent from a local computer to a remote VBA computer where veteran information is stored. The VBA network that supports HINQ is composed of four computer systems located in regional VA payment centers.
The main features of the HINQ package include the following functionality."
HIAA,"Health Insurance Association of America
An industry association that represents the interests of commercial health care insurers. The HIAA participates in the maintenance of some code sets, including HCPCS Level II codes."
HIPAA,"Health Insurance Portability and Accountability Act of 1996. Also referred to as, HIPAA.
A Federal law that makes a number of changes that have the goal of allowing persons to qualify immediately for comparable health insurance coverage when they change their employment relationships. Title II, Subtitle F, of HIPAA gives HHS the authority to mandate the use of standards for the electronic exchange of health care data; to specify what medical and administrative code sets should be used within those standards; to require the use of national identification systems for health care patients, providers, payers (or plans), and employers (or sponsors); and to specify the types of measures required to protect the security and privacy of personally identifiable health care information. Also known as the Kennedy-Kassebaum Bill, the Kassebaum-Kennedy Bill, K2, or Public Law 104-191."
HIPAA DD,"HIPAA Data Dictionary
defines and cross references the contents of all X12 transactions included in the HIPAA mandate. It is maintained by X12N/TG3."
HIS,Hospital Information System
HL7 (HL),"The DHCP Health Level Seven (HL7) software package provides an interface that allows DHCP applications to exchange healthcare data with other applications using the HL7 protocol.
HL7 is a standard protocol which specifies the implementation of interfaces between two computer applications (sender and receiver) for electronic data exchange in healthcare environments. HL7 allows healthcare institutions to exchange key sets of data from different application systems.
The HL7 protocol defines the content and format of abstract messages and trans-actions for interface capabilities for the following areas:
- Admission, discharge, and transfer (ADT);
- Order entry;
- Query;
- Financial applications such as charge, payment adjustments, and insurance;
- Ancillary data reporting for Laboratory, Radiology, Pharmacy, etc.
Messaging Workbench
medical standards"
HMO,"health maintenance organization
(as defined in section 2791(b)(3) of the PHS Act, 42 U.S.C. 300gg–91(b)(3) and used in the definition of health plan in this section) means a federally qualified HMO, an organization recognized as an HMO under State law, or a similar organization regulated for solvency under State law in the same manner and to the same extent as such an HMO."
HSD&D,"Health Systems Design & Development
Formerly SD&D—System Design and Development
IV&V"
HSF,"hospital service file
Records for defining the persons and/or locations within the medical center. Needs to include entries for sections or subsections, such as Nursing Education, SPD, wards, units, etc."
HSITES,Health Systems Implementation Training and Enterprise Support
HSM,Hospital-Supplied Self Medication
HT,Home Telehealth
Hui OpenVista,"In June 2003, Hui OpenVista, the open-source version of VistA, was released by the Pacific Telehealth & Technology Hui, a joint venture of the Department of Defense and Department of Veterans Affairs. Hui OpenVista is nonproprietary and license free. The Hui pioneered the development of Hui OpenVista to provide an affordable and robust EHR solution for healthcare facilities in remote, underserved areas. Hui OpenVista and VistA share the same features, functionality, scalability and reliability. There is no significant difference between the two except for their operating platforms. Hui OpenVista operates on an open-source database management system that runs on Linux, an open-source operating system; whereas, VistA operates on proprietary software that must be licensed."
IA,"Integration Agreements
define agreements between two or more VistA software applications to allow access to one development domain by another. VistA software developers are allowed to use internal entry points (APIs) or other software-specific features that are not available to the general programming public. Any software developed for use in the VistA environment is required to adhere to this standard; as such, it applies to vendor products developed within the boundaries of DBA assigned development domains (e.g., MUMPS AudioFax). An IA defines the attributes and functions that specify access. The DBA maintains and records all IAs in the Integration Agreement database on FORUM. Content can be viewed using the DBA menu or the Health Systems Design & Development's Web page."
IB,"Integrated Billing
A VISTA package responsible for identifying billable episodes of care, creating bills, and tracking the whole billing process through to the passing of charges to Accounts Receivable (AR). Includes the encounter form utility."
IBD (AICS),Automated Information Collection System
ICD,"1. International Classification of Diseases
A medical code set maintained by the World Health Organization (WHO). The primary purpose of this code set is to classify causes of death. A United States (US) extension of this coding system, maintained by the National Center for Health Statistics (NCHS) within the Centers for Disease Control (CDC), is used to identify morbidity factors, or diagnoses. The ICD-9-CM (Revision 9 Clinical Modification) codes have been selected for use in the HIPAA transactions.
ICD-10-CM - International Classification of Diseases, Diagnosis
ICD-10-Proc - International Classification of Diseases, Procedures
2. ICD package name DRG Grouper
medical standards"
ICN,"1. Identification Control Number.
Patients are assigned a unique identifier, known as an Integration Control Number, within the process of being added to the MPI database. This number links patients to their records across VHA systems.
2. Integration Control Number
A unique identifier assigned to patients when they are added to the Master Patient Index. ICNs fall under two categories: national and local. The ICN follows the ASTM E1714-95 standard for a universal health identifier. ICNs link patients to their records across VA systems. The ICN is stored in a message using the HL7 CX format. The ID subfield is the ICN. The type subfield is USVHA."
ICPT,CPT/HCPCS Codes
ICR,Immunology Case Registry
ID,Identifier
IDCU,"Integrated Data Communications Utility
A wide area network used by VA to interconnect computers for transmitting data between VA sites."
IDL,Iterative Development Lifecycle
